iso1,iso2,group,community
-23.98,4.72,Bison,P.man
-21.08,4.7,No bison,P.man
-25.74,4.69,No bison,M.och
-23.78,4.68,Bison,P.leu
-24.68,4.67,No bison,P.man
-23.7,4.66,No bison,P.leu
-24.27,4.62,Bison,P.man
-23.94,4.61,Bison,P.leu
-21.97,4.61,Bison,P.leu
-21.55,4.59,No bison,P.man
-24.77,4.58,No bison,M.och
-24.31,4.56,Bison,P.man
-23.96,4.56,Bison,P.leu
-21.87,4.56,No bison,P.man
-22.99,4.55,Bison,P.leu
-23.46,4.49,Bison,P.leu
-21.43,4.47,No bison,P.leu
-22.05,4.43,Bison,P.man
-27.16,4.42,No bison,M.och
-19.8,4.4,No bison,P.man
-24.82,4.35,Bison,M.och
-19.15,4.35,No bison,P.man
-18.8,4.35,No bison,P.man
-20.32,4.34,Bison,P.man
-23.84,4.32,Bison,P.man
-25.26,4.31,Bison,P.man
-25.95,4.26,No bison,M.och
-25.24,4.26,No bison,M.och
-23.46,4.26,No bison,P.man
-26.43,4.25,No bison,M.och
-24.94,4.24,Bison,P.man
-24.6,4.23,Bison,M.och
-20.99,4.2,Bison,P.man
-24.9,4.19,No bison,M.och
-22.93,4.19,Bison,P.leu
-22.74,4.19,No bison,P.man
-19.85,4.18,No bison,P.man
-23.19,4.17,No bison,P.man
-22.06,4.17,No bison,M.och
-20.31,4.16,No bison,P.man
-24.31,4.15,No bison,P.man
-22.36,4.15,No bison,P.man
-17.64,4.15,No bison,P.man
-20.79,4.13,No bison,P.man
-24.38,4.12,Bison,P.leu
-23.48,4.12,Bison,M.och
-24.32,4.11,Bison,P.leu
-18.89,4.1,No bison,P.man
-26.55,4.09,No bison,M.och
-24.71,4.09,Bison,P.man
-22.39,4.05,No bison,P.man
-23.79,4.03,Bison,P.leu
-23.78,4.01,Bison,P.leu
-23.51,4,No bison,P.man
-21.48,3.98,No bison,P.man
-26.02,3.97,No bison,M.och
-21.85,3.97,No bison,M.och
-18.77,3.97,No bison,P.man
-12.91,3.96,No bison,P.man
-24.81,3.95,Bison,P.leu
-24.39,3.94,No bison,M.och
-23.2,3.93,Bison,P.man
-23.26,3.92,Bison,P.leu
-19.86,3.91,No bison,P.man
-23.66,3.88,Bison,M.och
-24.29,3.87,Bison,P.leu
-22.98,3.86,Bison,P.leu
-14.8,3.85,No bison,P.leu
-22.31,3.84,No bison,P.man
-23.32,3.83,Bison,P.leu
-23.35,3.82,Bison,P.leu
-22.18,3.82,No bison,P.man
-24.77,3.8,Bison,M.och
-23.49,3.74,No bison,P.man
-24.77,3.73,Bison,M.och
-23.03,3.72,Bison,P.man
-21.95,3.71,No bison,M.och
-24.43,3.7,Bison,P.leu
-24.04,3.67,No bison,P.man
-23.83,3.63,No bison,P.leu
-25.24,3.61,Bison,P.leu
-24.89,3.61,No bison,M.och
-19.65,3.61,Bison,P.man
-24.47,3.6,No bison,P.man
-22.43,3.6,Bison,P.leu
-22.63,3.56,Bison,P.leu
-22.92,3.54,No bison,P.man
-24.74,3.52,Bison,P.leu
-26.03,3.51,No bison,M.och
-23.4,3.51,No bison,P.man
-26,3.5,No bison,M.och
-26.72,3.46,No bison,M.och
-20.34,3.44,No bison,P.leu
-27.23,3.43,No bison,M.och
-24.95,3.43,Bison,P.leu
-23.78,3.43,Bison,M.och
-27.73,3.42,No bison,M.och
-26.17,3.4,No bison,M.och
-18.34,3.4,No bison,P.leu
-26.43,3.39,No bison,M.och
-24.03,3.38,Bison,P.leu
-23.95,3.38,No bison,P.man
-23.46,3.38,Bison,M.och
-23.73,3.37,No bison,P.leu
-22.57,3.37,Bison,M.och
-27.23,3.33,No bison,M.och
-22.2,3.33,Bison,P.man
-24.71,3.32,No bison,P.man
-23.48,3.32,Bison,M.och
-25.04,3.31,No bison,P.man
-16.45,3.21,No bison,P.leu
-20.68,3.19,No bison,P.man
-27.24,3.15,Bison,M.och
-24.4,3.15,No bison,P.man
-23.37,3.13,No bison,P.man
-23.37,3.1,No bison,P.man
-20.63,3.07,No bison,P.man
-24.19,3.05,Bison,P.leu
-22.72,3.01,No bison,M.och
-25.34,3,Bison,M.och
-19.32,2.95,No bison,M.och
-22.31,2.92,Bison,P.man
-23.64,2.91,No bison,P.man
-15.85,2.9,No bison,P.man
-21.13,2.88,Bison,P.man
-23.94,2.86,Bison,M.och
-25.35,2.79,No bison,P.man
-21.26,2.76,Bison,P.leu
-22.92,2.75,No bison,P.man
-25.08,2.74,Bison,P.leu
-17.25,2.72,No bison,P.leu
-25.96,2.67,Bison,M.och
-24.58,2.62,No bison,P.man
-13.68,2.61,No bison,P.man
-23.15,2.56,Bison,P.leu
-25.71,2.47,Bison,M.och
-22.36,2.47,Bison,M.och
-26.47,2.46,Bison,M.och
-24.2,2.46,Bison,P.man
-24.58,2.45,Bison,P.man
-23.95,2.37,Bison,P.leu
-24.4,2.3,Bison,P.leu
-12.65,2.3,Bison,P.man
-24.9,2.29,Bison,P.leu
-22.82,2.27,Bison,P.man
-21.4,2.25,Bison,P.leu
-24.93,2.21,Bison,P.leu
-12.77,2.18,Bison,P.man
-16.72,2.12,Bison,P.leu
-25.09,2.11,Bison,P.leu
-21.74,1.96,Bison,P.leu
-25.89,1.9,Bison,P.leu
-25.66,1.64,Bison,P.leu
-19.71,1.51,No bison,P.man
-25.14,1.48,Bison,P.leu
-24.86,1.43,Bison,P.leu
-14.24,1.09,Bison,P.leu
-11.73,0.45,No bison,P.man
