Type,Type_specific,Species,Tag,Location of capture,d15N,d13C,percN,percC,Collector,Year collected,Yr_restore,Rest_age,Burn,Sex,Age,Repro,Weight_g,tl_mm,rhf_mm,bl_mm,month,day,Bison,C_N
Small mammal,,P.man,2996,L,4.31,-25.26,13.4,45.07,Angelica B,2019,2011,8,Burned,M,SA,NA,25,49,16,63,6,10,Bison,3.363432836
Small mammal,,P.man,3002,L,5.83,-13.14,13.45,44.5,Angelica B,2019,2011,8,Burned,M,A,NA,25,45,16,49,6,11,Bison,3.308550186
Small mammal,,P.man,3004,L,8.53,-12.68,13.53,44.53,Angelica B,2019,2011,8,Burned,M,A,NA,26,46,15,58,4,23,Bison,3.29120473
Small mammal,,M.och,3007,CCEEX,3.43,-27.23,13.18,45.03,Sarah N,2018,2007,11,Unburned,F,A,NA,47,46,19,85,6,15,No bison,3.416540212
Small mammal,,P.man,3010,L,6.6,-14.16,13.72,44.88,Angelica B,2019,2011,8,Burned,F,A,L,29,42,14,57,4,25,Bison,3.271137026
Small mammal,,P.man,3012,TC,7.83,-17.9,12.46,46.63,Sarah N,2018,2002.5,15.5,Burned,F,J,NA,26,50,18,52,6,19,No bison,3.742375602
Small mammal,,P.man,3020,TCEX,7.1,-12.91,13.14,43.79,Danielle D,2018,2002.5,15.5,Unburned,M,A,NA,33.5,56,18,61,4,20,No bison,3.332572298
Small mammal,,P.man,3021,HF,4.72,-23.98,12.98,45.95,Angelica B,2018,2013,5,Burned,F,A,P,36.5,57,17,58,6,9,Bison,3.540061633
Small mammal,,M.och,3022,TCR,4.26,-25.24,12.75,45.66,Angelica B,2018,C,50,Burned,F,A,P,57,33,19,80,10,3,No bison,3.581176471
Small mammal,,P.man,3025,CCW,8.25,-12.54,13.8,44.49,Sarah N,2018,2008,10,Burned,M,SA,NA,28,56,17,55,7,28,No bison,3.223913043
Small mammal,,P.man,3028,HF,5.64,-22.55,13.93,44.83,Sarah N,2018,2013,5,Burned,M,SA,NA,26.5,52,17,51,7,24,Bison,3.218234027
Small mammal,,P.man,3028,HF,6.43,-14.54,13.66,45.67,Sarah N,2018,2013,5,Burned,M,SA,NA,26.5,52,17,51,7,24,Bison,3.343338214
Small mammal,,M.och,3031,SF,3.5,-26,13.17,46.38,Angelica B,2018,2001,17,Unburned,F,A,L,57,46,20,92,10,1,No bison,3.521640091
Small mammal,,P.man,3032,MUR,5.05,-22.02,13.64,45.59,Sarah N,2018,C,50,Burned,M,A,NA,32,52,18,63,7,28,Bison,3.342375367
Small mammal,,P.man,3032,MUR,2.27,-22.82,13.08,44.79,Angelica B,2018,C,50,Burned,M,A,NA,32,52,18,63,7,28,Bison,3.424311927
Small mammal,,P.man,3033,WH,2.46,-24.2,14.13,47.56,Angelica B,2019,1992,27,Burned,F,A,P,35,60,18,59,4,23,Bison,3.365888181
Small mammal,,P.man,3034,CCW,2.91,-23.64,13.66,47.06,Angelica B,2018,2008,10,Burned,F,A,NA,28.5,56,18,52,9,28,No bison,3.445095168
Small mammal,,M.och,3036,TC,5.56,-25.12,13.82,45.07,Sarah N,2018,2002.5,15.5,Burned,F,A,NA,47,34,18,82,7,31,No bison,3.26121563
Small mammal,,P.man,3038,MU,2.92,-22.31,12.39,42.89,Angelica B,2018,1986.5,31.5,Burned,F,A,NA,39,76,21,66,9,28,Bison,3.461662631
Small mammal,,P.man,3039,CCW,3.32,-24.71,13.66,46.03,Angelica B,2018,2008,10,Burned,F,A,P,36.5,58,17,54,9,28,No bison,3.369692533
Small mammal,,P.man,3041,HF,5.7,-24.47,13.48,45.41,Sarah N,2018,2013,5,Burned,M,A,NA,33.5,54,17,56,6,11,Bison,3.368694362
Small mammal,,P.man,3042,SB,4.16,-20.31,13.63,44.9,Angelica B,2019,2009,10,Burned,M,A,NA,30,50,16,59,4,9,No bison,3.294203962
Small mammal,,M.mus,3043,SB,13.82,-10.66,13.84,46.4,Angelica B,2018,2009,9,Unburned,F,J,NA,27.5,73,19,49,10,1,No bison,3.352601156
Small mammal,,P.man,3044,TC,6.51,-23.24,14.05,45.55,Sarah N,2018,2002.5,15.5,Burned,M,SA,NA,28.5,64,18,55,8,1,No bison,3.241992883
Small mammal,,P.leu,3047,SBEX1,4.47,-21.43,13.76,44.38,Sarah N,2018,2009,9,Unburned,M,A,NA,38.5,81,20,60,10,1,No bison,3.388888889
Small mammal,,P.leu,3047,SBEX1,7.67,-22.76,13.68,46.36,Angelica B,2018,2009,9,Unburned,M,A,NA,38.5,81,20,60,10,1,No bison,3.225290698
Small mammal,,P.man,3049,SBEX1,6.03,-22.94,13.57,46.98,Angelica B,2018,2009,9,Unburned,M,A,NA,23,54,18,55,10,1,No bison,3.462048637
Small mammal,,M.och,3053,TC,4.25,-26.43,12.61,42.96,Sarah N,2018,2002.5,15.5,Burned,F,A,NA,49.5,36,18,80,8,2,No bison,3.406819984
Small mammal,,P.man,3054,TCR,6.09,-19.5,13.97,45.05,Sarah N,2018,C,50,Burned,F,A,NA,35.5,56,18,57,8,2,No bison,3.224767359
Small mammal,,P.leu,3055,MU,2.21,-24.93,13.51,45.03,Sarah N,2018,1986.5,31.5,Burned,M,A,NA,44.5,79,22,73,7,28,Bison,3.333086603
Small mammal,,P.man,3057,TCE,3.96,-12.91,13.46,45.63,Angelica B,2019,2002.5,16.5,Unburned,F,A,NA,35,42.5,15,56,4,8,No bison,3.390044577
Small mammal,,P.leu,3061,CCWEX,6.49,-22.87,14.15,45.45,Sarah N,2018,2008,10,Unburned,F,A,NA,28,71,21,51,6,16,No bison,3.212014134
Small mammal,,P.leu,3062,HPW,4.11,-24.32,14.05,44.24,Sarah N,2018,2008,10,Burned,F,A,NA,40,74,21,64,7,25,Bison,3.148754448
Small mammal,,P.leu,3062,HPW,3.95,-24.81,13.81,45.76,Angelica B,2018,2008,10,Burned,F,A,NA,40,74,21,64,7,25,Bison,3.313540912
Small mammal,,P.leu,3063,WH,1.96,-21.74,12.63,41.19,Angelica B,2019,1992,27,Burned,M,A,NA,32,70.5,59,57,4,24,Bison,3.26128266
Small mammal,,P.leu,3065,HL,5.29,-22.26,13.13,44.24,Angelica B,2018,2001,17,Burned,F,A,L,41.5,74,19,62,9,24,Bison,3.369383092
Small mammal,,P.man,3066,SBEE,6.24,-12.56,13.56,45.1,Angelica B,2019,2009,10,Unburned,M,A,NA,30,46,15,58.5,4,9,No bison,3.325958702
Small mammal,,P.leu,3067,WH,4.74,-22.37,13.63,44.7,Sarah N,2018,1992,26,Unburned,A,F,NA,31.5,70,21,58,7,27,Bison,3.279530448
Small mammal,,P.man,3068,HF,4.56,-24.31,12.73,45.28,Angelica B,2018,2013,5,Burned,M,J,NA,17,32,15,32,7,26,Bison,3.556952082
Small mammal,,M.och,3069,WH,2.47,-22.36,12.75,46.56,Sarah N,2018,1992,26,Unburned,F,A,NA,35,37,17,70,6,13,Bison,3.651764706
Small mammal,,P.man,3072,TCR,5.68,-17.68,13.58,44.59,Sarah N,2018,C,50,Burned,M,SA,NA,24,49,17,51,6,18,No bison,3.283505155
Small mammal,,P.man,3073,CCWEX,2.79,-25.35,13.31,45.28,Angelica B,2018,2008,10,Unburned,M,SA,NA,30,58,17,61,9,29,No bison,3.401953418
Small mammal,,Z.hud,3081,WH,0.54,-18.03,14.17,45.25,Sarah N,2018,1992,26,Unburned,F,A,NA,35.5,116,29,63,7,29,Bison,3.193366267
Small mammal,,P.leu,3083,HL,5.66,-23.55,14.34,45.4,Sarah N,2018,2001,17,Burned,M,A,NA,31,66,19,54,7,26,Bison,3.165969317
Small mammal,,P.man,3084,HF,6.27,-24.11,13.58,44.94,Sarah N,2018,2013,5,Burned,F,SA,NA,28.5,53,18,65,7,25,Bison,3.309278351
Small mammal,,P.man,3084,HF,4.09,-24.71,12.56,45.09,Angelica B,2018,2013,5,Burned,F,SA,NA,28.5,53,18,65,7,25,Bison,3.589968153
Small mammal,,M.och,3085,CCE,4.58,-24.77,13.66,46.4,Angelica B,2018,2007,11,Unburned,F,A,NA,48,45,19,85,9,28,No bison,3.396778917
Small mammal,,P.man,3086,TC,7.13,-14.32,13,44.51,Sarah N,2018,2002.5,15.5,Burned,M,A,NA,28,52,19,61,6,17,No bison,3.423846154
Small mammal,,P.leu,3087,HPW,3.61,-25.24,13.64,46.2,Angelica B,2018,2008,10,Burned,F,A,L,40,75,21,63,9,24,Bison,3.387096774
Small mammal,,P.man,3088,SBEX2,8.36,-11.52,13.57,45.22,Angelica B,2018,2009,9,Unburned,M,A,NA,30.5,50,17,54,8,3,No bison,3.332350774
Small mammal,,P.man,3089,TCEX,5.53,-24.97,13.6,44.26,Sarah N,2018,2002.5,15.5,Unburned,M,A,NA,29.5,51,18,54,8,3,No bison,3.254411765
Small mammal,,P.man,3089,TCEX,4.67,-24.68,12.55,44.86,Angelica B,2018,2002.5,15.5,Unburned,M,A,NA,29.5,51,18,54,8,3,No bison,3.574501992
Small mammal,,P.man,3091,CCWEX,2.61,-13.68,13.37,43.62,Angelica B,2019,2008,11,Unburned,F,A,P,30,55,14.5,52,4,13,No bison,3.262528048
Small mammal,,P.leu,3092,CCWEX,6.86,-21.94,14.07,45.15,Sarah N,2018,2008,10,Unburned,M,A,NA,33.5,73,20,55,7,27,No bison,3.208955224
Small mammal,,P.leu,3093,HL,5.51,-19.77,13.95,45.42,Sarah N,2018,2001,17,Burned,F,A,P,36.5,74,20,63,7,24,Bison,3.255913978
Small mammal,,P.man,3098,CCW,5.84,-21.39,13.87,45.62,Sarah N,2018,2008,10,Burned,M,SA,NA,28,54,17,53,7,30,No bison,3.289113194
Small mammal,,P.man,3098,CCW,3.54,-22.92,13.39,45.79,Angelica B,2018,2008,10,Burned,M,SA,NA,28,54,17,53,7,30,No bison,3.419716206
Small mammal,,P.man,3099,CCW,3.38,-23.95,13.65,45.84,Sarah N,2018,2008,10,Burned,F,J,NA,26,57,16,55,7,28,No bison,3.358241758
Small mammal,,M.och,3105,TC,3.97,-26.02,14.12,45.49,Sarah N,2018,2002.5,15.5,Burned,M,A,NA,42.5,39,19,76,8,2,No bison,3.221671388
Small mammal,,M.och,3105,TC,4.19,-24.9,12.75,44.96,Angelica B,2018,2002.5,15.5,Burned,M,A,NA,42.5,39,19,76,8,2,No bison,3.52627451
Small mammal,,P.leu,3113,FC,5.3,-19.79,13.56,46.62,Sarah N,2018,2006.5,11.5,Burned,M,SA,NA,32.5,59,19,64,7,25,No bison,3.438053097
Small mammal,,P.leu,3114,WH,3.43,-24.95,14,44.61,Sarah N,2018,1992,26,Unburned,F,A,P,30.5,69,19,55,7,27,Bison,3.186428571
Small mammal,,M.och,3115,FC,3.42,-27.73,12.57,44.47,Angelica B,2019,2006.5,12.5,Unburned,F,A,NA,40,46,18,73,4,24,No bison,3.537788385
Small mammal,,P.leu,3116,HL,6.12,-10.76,13.53,45.42,Angelica B,2018,2001,17,Burned,F,A,NA,34,70,22,61,7,26,Bison,3.356984479
Small mammal,,P.man,3121,L,9.53,-9.66,13.88,46.58,Angelica B,2018,2011,7,Unburned,M,A,NA,28.5,50,18,54,9,24,Bison,3.355907781
Small mammal,,P.man,3122,CCE,3.6,-24.47,13.89,45.24,Sarah N,2018,2007,11,Unburned,M,A,NA,30,60,18,54,7,29,No bison,3.511940299
Small mammal,,P.man,3122,CCE,2.62,-24.58,13.4,47.06,Angelica B,2018,2007,11,Unburned,M,A,NA,30,60,18,54,7,29,No bison,3.257019438
Small mammal,,P.man,3123,FC,6.93,-19.43,13.93,44.72,Sarah N,2018,2006.5,11.5,Burned,F,A,NA,28.5,56,17,55,7,26,No bison,3.210337401
Small mammal,,P.leu,3128,CCWEX,7.69,-24.02,13.78,44.61,Sarah N,2018,2008,10,Unburned,M,A,NA,35.5,71,22,64,7,28,No bison,3.237300435
Small mammal,,P.man,3130,TCR,4.15,-22.36,13.23,46.48,Angelica B,2018,C,50,Burned,F,A,NA,28,50,18,59,10,1,No bison,3.513227513
Small mammal,,P.man,3131,MUR,5.57,-18.53,13.61,44.95,Sarah N,2018,C,50,Burned,F,A,NA,28.5,56,17,55,7,28,Bison,3.302718589
Small mammal,,P.man,3133,MUR,4.2,-20.99,13.88,44.61,Sarah N,2018,C,50,Burned,M,A,NA,31,54,17,57,7,27,Bison,3.213976945
Small mammal,,P.leu,3134,HPW,6.4,-22.89,13.77,45.19,Sarah N,2018,2008,10,Burned,F,A,NA,32,62,20,57,7,26,Bison,3.281771968
Small mammal,,P.leu,3135,SBEX1,5.43,-15.91,13.82,46.34,Angelica B,2018,2009,9,Unburned,M,A,NA,30,69,19,58,10,1,No bison,3.353111433
Small mammal,,P.man,3136,CCWEX,5.33,-21.72,13.58,44.95,Sarah N,2018,2008,10,Unburned,M,SA,NA,28.5,53,18,50,7,28,No bison,3.428464978
Small mammal,,P.man,3136,CCWEX,4.19,-22.74,13.42,46.01,Angelica B,2018,2008,10,Unburned,M,SA,NA,28.5,53,18,50,7,28,No bison,3.310014728
Small mammal,,P.man,3137,CCWEX,6.67,-19.76,13.26,46.61,Sarah N,2018,2008,10,Unburned,M,A,NA,29.5,54,16,55,6,13,No bison,3.515082956
Small mammal,,P.leu,3138,HL,4.61,-23.94,13.8,44.44,Sarah N,2018,2001,17,Burned,F,A,NA,32.5,64,20,58,7,25,Bison,3.220289855
Small mammal,,,3139,,5.95,-19.88,13.91,45.28,Sarah N,2019,,,,,,,,,,,,,,
Small mammal,,P.man,3140,FC,6.28,-19.74,14.17,47.48,Sarah N,2018,2006.5,11.5,Burned,F,SA,NA,30.5,55,17,56,7,24,No bison,3.350741002
Small mammal,,P.man,3141,CCW,3.15,-24.4,12.14,46.72,Angelica B,2018,2008,10,Burned,F,J,NA,28,52,17,55,9,28,No bison,3.848434926
Small mammal,,Z.hud,3142,WH,2.8,-20.79,14.28,45.1,Sarah N,2018,1992,26,Unburned,F,A,NA,32.5,122,29,58,7,29,Bison,3.158263305
Small mammal,,P.leu,3143,HL,3.05,-24.19,14.21,44.66,Sarah N,2018,2001,17,Burned,F,A,PL,40,74,19,61,7,24,Bison,3.142857143
Small mammal,,P.man,3145,CCW,5.38,-20.78,13.45,45.36,Sarah N,2018,2008,10,Burned,F,A,NA,33.5,56,17,55,7,27,No bison,3.372490706
Small mammal,,P.leu,3146,WH,4.56,-23.96,13.3,43.46,Sarah N,2018,1992,26,Unburned,M,A,NA,41,85,20,73,7,28,Bison,3.267669173
Small mammal,,P.man,3147,MUR,6.12,-21.05,13.94,45.83,Sarah N,2018,C,50,Burned,F,SA,NA,29.5,58,18,51,7,27,Bison,3.287661406
Small mammal,,P.leu,3148,WH,3.38,-24.03,13.66,45.97,Sarah N,2018,1992,26,Unburned,M,A,NA,38.5,77,21,60,7,29,Bison,3.365300146
Small mammal,,M.och,3149,TC,5.2,-24.75,9.33,31.07,Sarah N,2018,2002.5,15.5,Burned,F,A,NA,43.5,38,19,81,8,1,No bison,3.330117899
Small mammal,,P.leu,3150,TCEX,8.75,-22.13,13.74,45.7,Angelica B,2018,2002.5,15.5,Unburned,M,A,NA,36,85,21,63,10,1,No bison,3.326055313
Small mammal,,P.man,3154,HL,5.65,-22.37,13.68,44.89,Sarah N,2018,2001,17,Burned,M,A,NA,33.5,57,19,57,7,25,Bison,3.785714286
Small mammal,,P.man,3154,HL,3.61,-19.65,12.18,46.11,Angelica B,2018,2001,17,Burned,M,A,NA,33.5,57,19,57,7,25,Bison,3.281432749
Small mammal,,P.man,3155,TC,6.18,-20.83,13.89,45.6,Sarah N,2018,2002.5,15.5,Burned,M,A,NA,29,56,19,52,8,1,No bison,3.282937365
Small mammal,,P.man,3156,MU,3.93,-23.2,12.92,46.19,Angelica B,2018,1986.5,31.5,Burned,F,J,NA,24,52,18,48,9,28,Bison,3.575077399
Small mammal,,P.man,3157,MUR,5.39,-18.29,13.93,45.21,Sarah N,2018,C,50,Burned,M,A,NA,31,54,18,57,7,30,Bison,3.245513281
Small mammal,,P.man,3158,TC,6.46,-24.11,13.94,46.36,Sarah N,2018,2002.5,15.5,Burned,M,J,NA,29,54,17,52,8,1,No bison,3.325681492
Small mammal,,M.och,3159,HL,2.47,-25.71,13.61,45.07,Angelica B,2018,2001,17,Burned,M,A,NA,49.5,38,18,85,9,24,Bison,3.311535636
Small mammal,,P.leu,3161,HL,3.56,-22.63,13.99,44.55,Sarah N,2018,2001,17,Burned,M,A,NA,36,73,21,65,7,26,Bison,3.184417441
Small mammal,,P.leu,3162,HPW,3.6,-22.43,13.69,44.24,Sarah N,2018,2008,10,Burned,M,A,NA,34.5,70,20,61,7,25,Bison,3.23155588
Small mammal,,P.man,3165,MUR,4.34,-20.32,13.65,45.29,Sarah N,2018,C,50,Burned,F,SA,NA,29,52,17,57,6,15,Bison,3.317948718
Small mammal,,P.man,3165,MUR,3.33,-22.2,13.9,44.74,Sarah N,2018,C,50,Burned,F,SA,NA,29,52,17,57,6,15,Bison,3.218705036
Small mammal,,Z.hud,3166,WH,2.21,-17.51,14.32,45.45,Sarah N,2018,1992,26,Unburned,F,A,NA,29.5,119,28,59,7,30,Bison,3.173882682
Small mammal,,P.leu,3167,TCEX,4.8,-21.41,13.73,44.36,Sarah N,2018,2002.5,15.5,Unburned,M,A,NA,32,69,19,64,8,1,No bison,3.230881282
Small mammal,,P.man,3168,TCR,7.43,-15.48,12.74,47.07,Sarah N,2018,C,50,Burned,M,A,NA,3,52,17,53,6,19,No bison,3.69466248
Small mammal,,P.man,3168,TCR,6.74,-19.51,13.48,45.13,Sarah N,2018,C,50,Burned,M,A,NA,3,52,17,53,6,19,No bison,3.347922849
Small mammal,,P.man,3171,MUR,7.56,-25.66,11.04,51.81,Sarah N,2018,C,50,Burned,M,SA,NA,28.5,48,17,50,7,29,Bison,4.692934783
Small mammal,,P.man,3172,WH,4.91,-23.89,13.52,44.86,Sarah N,2018,1992,26,Unburned,F,A,P,37.5,76,20,68,7,30,Bison,3.318047337
Small mammal,,P.man,3172,WH,4.84,-24.09,13.7,45.82,Angelica B,2018,1992,26,Unburned,F,A,P,37.5,76,20,68,7,30,Bison,3.344525547
Small mammal,,P.man,3173,SB,5.13,-19.36,13.53,47.5,Angelica B,2018,2009,9,Unburned,M,SA,NA,30,55,19,60,10,1,No bison,3.510716925
Small mammal,,M.mus,3174,HL,14.51,-11.2,13.68,46.07,Angelica B,2018,2001,17,Burned,M,A,NA,27,73,18,55,9,26,Bison,3.367690058
Small mammal,,Z.hud,3175,WH,3.34,-24.87,14.23,44.9,Sarah N,2018,1992,26,Unburned,F,J,NA,25.5,108,28,50,7,28,Bison,3.155305692
Small mammal,,P.man,3176,CCEEX,3.31,-25.04,13.65,46.3,Angelica B,2018,2007,11,Unburned,M,SA,NA,31.5,54,18,56,9,29,No bison,3.391941392
Small mammal,,P.man,3179,TC,8.13,-12.8,13.65,45.22,Sarah N,2018,2002.5,15.5,Burned,F,A,L,33.5,56,17,59,6,19,No bison,3.312820513
Small mammal,,P.man,3183,CCWEX,5.41,-20.88,13.7,44.64,Sarah N,2018,2008,10,Unburned,M,A,NA,30.5,55,18,60,6,13,No bison,3.258394161
Small mammal,,P.leu,3184,TCEX,6.01,-21.04,12.49,46.28,Angelica B,2018,2002.5,15.5,Unburned,M,A,NA,34.5,73,21,63,8,3,No bison,3.705364291
Small mammal,,P.leu,3185,MUR,5.09,-20.93,13.77,44.69,Sarah N,2018,C,50,Burned,F,SA,NA,27,59,17,47,7,27,Bison,3.245461147
Small mammal,,P.leu,3187,HL,2.56,-23.15,13.78,46.26,Sarah N,2018,2001,17,Burned,M,A,NA,33,69,18,58,6,11,Bison,3.357039187
Small mammal,,P.man,3188,MUR,5.69,-18.56,13.69,45.55,Sarah N,2018,C,50,Burned,M,A,NA,26,50,17,53,6,16,Bison,3.327246165
Small mammal,,P.leu,3190,WH,3.87,-24.29,13.88,45.23,Sarah N,2018,1992,26,Unburned,M,A,NA,36,78,20,64,7,28,Bison,3.258645533
Small mammal,,P.man,3191,CCW,3.67,-24.04,13.21,46.38,Angelica B,2018,2008,10,Burned,M,A,NA,26,56,17,52,6,16,No bison,3.510976533
Small mammal,,P.man,3192,TCEX,7.01,-16.3,13.72,44.19,Sarah N,2018,2002.5,15.5,Unburned,M,SA,NA,28,50,17,49,7,31,No bison,3.220845481
Small mammal,,P.man,3193,CCWEX,3.13,-23.37,12.91,45.03,Angelica B,2018,2008,10,Unburned,M,A,NA,32.5,57,18,63,9,28,No bison,3.487993803
Small mammal,,M.och,3195,L,3.15,-27.24,13.83,44.14,Sarah N,2018,2011,7,Unburned,F,A,P,44.5,32,19,73,7,25,Bison,3.191612437
Small mammal,,M.och,3196,TCR,3.4,-26.17,12.32,45.92,Angelica B,2018,C,50,Burned,F,A,NA,51,41,18,81,10,3,No bison,3.727272727
Small mammal,,P.man,3198,FC,5.36,-19.94,13.84,45.7,Sarah N,2018,2006.5,11.5,Burned,M,J,NA,28,52,19,51,6,12,No bison,3.302023121
Small mammal,,P.leu,3199,WH,3.86,-22.98,13.63,44.38,Sarah N,2018,1992,26,Unburned,M,A,NA,37.5,65,22,61,7,27,Bison,3.256052825
Small mammal,,P.man,3201,CCEEX,5.27,-17.19,13.58,47.09,Angelica B,2018,2007,11,Unburned,M,SA,NA,30.5,56,18,52,9,28,No bison,3.467599411
Small mammal,,P.leu,3204,HPN,4.61,-21.97,12.04,48.06,Sarah N,2018,2012,6,Unburned,M,A,NA,24,66,17,45,6,10,Bison,3.991694352
Small mammal,,M.och,3205,TCR,3.33,-27.23,14.04,42.69,Sarah N,2018,C,50,Burned,M,A,NA,45.5,37,19,83,8,3,No bison,3.040598291
Small mammal,,P.leu,3206,MU,2.3,-24.4,13.65,44.34,Sarah N,2018,1986.5,31.5,Burned,M,A,NA,43.5,77,20,67,7,29,Bison,3.248351648
Small mammal,,P.leu,3208,MU,5.83,-19.81,13.93,45.82,Sarah N,2018,1986.5,31.5,Burned,M,A,NA,35,78,21,63,7,29,Bison,3.289303661
Small mammal,,P.leu,3209,SF,5.97,-22.67,13.19,45.08,Angelica B,2018,2001,17,Unburned,M,SA,NA,29.5,70,20,52,7,26,No bison,3.417740713
Small mammal,,P.leu,3210,WH,3.83,-23.32,13.93,45.65,Sarah N,2018,1992,26,Unburned,M,A,NA,33.5,68,20,57,7,30,Bison,3.277099785
Small mammal,,P.leu,3211,HL,4.55,-22.99,13.97,45.45,Sarah N,2018,2001,17,Burned,M,A,NA,31.5,75,20,58,7,25,Bison,3.253400143
Small mammal,,P.man,3215,CCE,5.65,-17.36,13.5,45.94,Angelica B,2018,2007,11,Unburned,M,A,NA,30,52,18,54,9,28,No bison,3.402962963
Small mammal,,P.man,3216,HL,4.43,-22.05,12.26,44.34,Angelica B,2018,2001,17,Burned,M,SA,NA,31.5,52,18,58,9,24,Bison,3.616639478
Small mammal,,P.man,3218,HF,2.45,-24.58,13.25,45.16,Sarah N,2018,2013,5,Burned,F,SA,NA,34,60,17,63,6,10,Bison,3.408301887
Small mammal,,P.man,3220,SBEX1,8.07,-19.04,13.71,45.01,Sarah N,2018,2009,9,Unburned,F,SA,NA,25.5,52,17,50,7,31,No bison,3.283005106
Small mammal,,P.man,3222,HF,6.28,-24.01,13.63,45.21,Sarah N,2018,2013,5,Burned,F,SA,NA,28.5,55,17,57,6,12,Bison,3.316947909
Small mammal,,P.leu,3223,CCW,4.93,-22.25,13.98,44.95,Sarah N,2018,2008,10,Burned,F,A,NA,31,62,17,59,7,27,No bison,3.215307582
Small mammal,,,3253,,5.94,-20.46,12.94,45.32,Angelica B,2019,,,,,,,,,,,,,,
Small mammal,,P.man,3706,HF,4.9,-22.57,12.47,45.78,Angelica B,2018,2013,5,Burned,M,SA,NA,29,55,17,50,6,9,Bison,3.671210906
Small mammal,,P.man,3747,SB,2.75,-22.92,13.48,44.25,Danielle D,2017,2009,8,Unburned,M,A,NA,33,57,17,61,9,30,No bison,3.28264095
Small mammal,Ground squirrel,,4356,,4.31,-24.28,13.2,46.85,Kirstie,2016,,,,,,,,,,,,,,
Small mammal,,P.leu,5235,SB,8.19,-16.02,13.82,44.87,Sarah N,2019,2009,10,Burned,F,A,PL,34.5,71,18,59,8,20,No bison,3.246743849
Small mammal,,P.man,6902,TCR,5.88,-20.7,13.63,45.4,Sarah N,2019,C,50,Unburned,M,A,NA,27.5,54,15,57,8,16,No bison,3.330887748
Small mammal,,P.man,7643,HPN,5.66,-24.38,13.67,45.62,Sarah N,2019,2012,7,Unburned,M,A,NA,33,52,14,51,8,13,Bison,3.337234821
Small mammal,,P.leu,7655,MU,3.52,-24.74,13.41,44.29,Sarah N,2019,1986.5,32.5,Unburned,F,A,PL,39,76,18,68,8,16,Bison,3.302759135
Small mammal,,P.man,7656,CCW,4.26,-23.46,13.57,45.91,Sarah N,2019,2008,11,Unburned,F,A,L,27,54.5,14,52,8,21,No bison,3.383198231
Small mammal,,P.man,7664,SB,6.67,-15.28,13.44,45.08,Angelica B,2019,2009,10,Burned,F,A,PL,34,54,16,60,6,19,No bison,3.354166667
Small mammal,,R.meg,7674,FC,4.43,-23.62,12.65,47.32,Sarah N,2019,2006.5,12.5,Unburned,F,A,PL,18.5,63,16,42,8,17,No bison,3.740711462
Small mammal,,P.man,7676,TCR,3.1,-23.37,13.55,45.82,Sarah N,2019,C,50,Unburned,M,A,NA,17,63,15,48,8,16,No bison,3.381549815
Small mammal,,M.och,7680,FC,3.71,-21.95,13.41,44.04,Sarah N,2019,2006.5,12.5,Unburned,F,A,L,48.5,34,14.5,87,8,16,No bison,3.284116331
Small mammal,,P.man,7683,CCEE,5.91,-21.24,13.39,45.16,Angelica B,2019,2007,12,Burned,F,SA,NA,26,45,15,48,6,21,No bison,3.372666169
Small mammal,,P.man,7684,SF,4.1,-18.89,12.62,45.05,Angelica B,2019,2001,18,Burned,M,A,NA,25,51,16,55,6,11,No bison,3.569730586
Small mammal,,P.man,7691,CCE,5.8,-20.79,12.55,45.6,Angelica B,2019,2007,12,Burned,F,SA,NA,25,44,15,46,6,20,No bison,3.633466135
Small mammal,,P.leu,7701,TCR,6.62,-24.55,13.74,45.2,Sarah N,2019,C,50,Unburned,M,A,NA,30,75,18,58,8,17,No bison,3.46702047
Small mammal,,P.leu,7701,TCR,5.55,-24.29,13.19,45.73,Sarah N,2019,C,50,Unburned,M,A,NA,30,75,18,58,8,17,No bison,3.289665211
Small mammal,,P.man,7712,CCEE,6.17,-20.94,13.24,45.41,Angelica B,2019,2007,12,Burned,M,SA,NA,24,47,14.5,43,6,20,No bison,3.429758308
Small mammal,,P.man,7717,MUR,3.72,-23.03,13.33,45.4,Sarah N,2019,C,50,Burned,F,A,NA,28,60,21,53,8,15,Bison,3.405851463
Small mammal,,R.meg,7722,TCE,4.31,-23.21,13.6,45.25,Sarah N,2019,2002.5,16.5,Unburned,M,A,NA,21,65,16,48,8,15,No bison,3.327205882
Small mammal,,P.man,7730,TCR,4.7,-21.08,13.52,44.72,Sarah N,2019,C,50,Unburned,M,A,NA,25.5,59,16,56,8,16,No bison,3.307692308
Small mammal,,P.man,7733,TC,7.51,-20.23,13.55,44.69,Sarah N,2019,2002.5,16.5,Unburned,M,A,NA,28,53,16,55,8,16,No bison,3.298154982
Small mammal,,P.man,8548,CCW,8.83,-10.15,13.45,44.88,Danielle D,2018,2008,10,Burned,M,A,NA,38,45,18.5,64,4,15,No bison,3.336802974
Small mammal,,P.man,8548,CCW,8.21,-11.24,13.86,44.19,Sarah N,2018,2008,10,Burned,M,A,NA,38,45,18.5,64,4,15,No bison,3.188311688
Small mammal,,P.man,8556,HL,2.88,-21.13,13.26,46.19,Angelica B,2018,2001,17,Burned,M,A,NA,34,58,18,57,6,9,Bison,3.483408748
