Species,Tag,Year,Location,Burn,Bison,d15N,d13C
P.leu,2430,2019,WH,Burned,Bison,4.68,-23.78
P.man,2431,2019,SBEX2,Burned,No bison,6.37,-19.55
P.leu,2434,2019,WH,Burned,Bison,3.82,-23.35
P.man,2435,2019,TC,Unburned,No bison,7.28,-12.32
P.man,2436,2019,CCW,Unburned,No bison,5.45,-21.05
P.man,2439,2019,SF,Burned,No bison,6.32,-21.57
P.man,2440,2019,TCR,Unburned,No bison,6.01,-22.46
P.man,2441,2019,SBEX2,Burned,No bison,4.05,-22.39
P.man,2443,2019,CCWE,Unburned,No bison,3.07,-20.63
P.leu,2445,2019,WH,Burned,Bison,2.74,-25.08
P.leu,2514,2016,HL,Unburned,Bison,5.13,-15.7
P.man,2729,2018,SBEX1,Unburned,No bison,8.14,-15.2
P.man,2923,2019,SB,Burned,No bison,5.5,-9.93
P.man,2924,2019,HPN,Unburned,Bison,4.32,-23.84
P.man,2926,2019,TC,Unburned,No bison,5.78,-11.24
P.leu,2930,2018,TCEX,Unburned,No bison,6.49,-18.44
P.man,2932,2018,TC,Burned,No bison,8.44,-10.43
P.leu,2936,2019,WH,Burned,Bison,2.25,-21.4
P.leu,2937,2018,TCEX,Unburned,No bison,7.75,-17.74
P.leu,2938,2018,HL,Burned,Bison,4.87,-23.96
P.man,2940,2018,FC,Burned,No bison,5.54,-18.07
P.man,2940,2018,FC,Burned,No bison,5.59,-18.77
P.man,2941,2019,L,Burned,Bison,2.3,-12.65
P.man,2944,2019,SB,Burned,No bison,7.22,-21.04
P.man,2947,2018,TC,Burned,No bison,8.36,-10.84
P.leu,2954,2019,TCR,Unburned,No bison,2.72,-17.25
P.man,2955,2019,L,Burned,Bison,8.51,-24.13
P.man,2959,2019,CCE,Burned,No bison,5.01,-20.06
P.leu,2960,2019,WH,Burned,Bison,3.92,-23.26
M.och,2964,2018,WH,Unburned,Bison,3,-25.34
P.leu,2970,2018,WH,Unburned,Bison,2.76,-21.26
P.man,2972,2018,HL,Burned,Bison,6.03,-21.61
P.leu,2973,2018,HPW,Burned,Bison,2.37,-23.95
P.leu,2973,2018,HPW,Burned,Bison,4.49,-23.46
P.leu,2974,2018,TCEX,Unburned,No bison,6.71,-20.28
P.man,2975,2019,HF,Unburned,Bison,5.18,-23.71
P.leu,2979,2018,CCE,Unburned,No bison,3.4,-18.34
P.leu,2982,2018,TCEX,Unburned,No bison,7.37,-10.29
P.man,2987,2018,TC,Burned,No bison,9.18,-10.52
P.man,2987,2018,TC,Burned,No bison,7.15,-13.77
P.man,2988,2019,HPN,Unburned,Bison,5.82,-24.64
P.man,2992,2019,HPN,Unburned,Bison,4.62,-24.27
P.man,2994,2018,TC,Burned,No bison,7.9,-11.89
P.man,2996,2019,L,Burned,Bison,4.31,-25.26
P.man,3002,2019,L,Burned,Bison,5.83,-13.14
P.man,3004,2019,L,Burned,Bison,8.53,-12.68
M.och,3007,2018,CCEEX,Unburned,No bison,3.43,-27.23
P.man,3010,2019,L,Burned,Bison,6.6,-14.16
P.man,3012,2018,TC,Burned,No bison,7.83,-17.9
P.man,3020,2018,TCEX,Unburned,No bison,7.1,-12.91
P.man,3021,2018,HF,Burned,Bison,4.72,-23.98
M.och,3022,2018,TCR,Burned,No bison,4.26,-25.24
P.man,3025,2018,CCW,Burned,No bison,8.25,-12.54
P.man,3028,2018,HF,Burned,Bison,5.64,-22.55
P.man,3028,2018,HF,Burned,Bison,6.43,-14.54
M.och,3031,2018,SF,Unburned,No bison,3.5,-26
P.man,3032,2018,MUR,Burned,Bison,5.05,-22.02
P.man,3032,2018,MUR,Burned,Bison,2.27,-22.82
P.man,3033,2019,WH,Burned,Bison,2.46,-24.2
P.man,3034,2018,CCW,Burned,No bison,2.91,-23.64
M.och,3036,2018,TC,Burned,No bison,5.56,-25.12
P.man,3038,2018,MU,Burned,Bison,2.92,-22.31
P.man,3039,2018,CCW,Burned,No bison,3.32,-24.71
P.man,3041,2018,HF,Burned,Bison,5.7,-24.47
P.man,3042,2019,SB,Burned,No bison,4.16,-20.31
P.man,3044,2018,TC,Burned,No bison,6.51,-23.24
P.leu,3047,2018,SBEX1,Unburned,No bison,4.47,-21.43
P.leu,3047,2018,SBEX1,Unburned,No bison,7.67,-22.76
P.man,3049,2018,SBEX1,Unburned,No bison,6.03,-22.94
M.och,3053,2018,TC,Burned,No bison,4.25,-26.43
P.man,3054,2018,TCR,Burned,No bison,6.09,-19.5
P.leu,3055,2018,MU,Burned,Bison,2.21,-24.93
P.man,3057,2019,TCE,Unburned,No bison,3.96,-12.91
P.leu,3061,2018,CCWEX,Unburned,No bison,6.49,-22.87
P.leu,3062,2018,HPW,Burned,Bison,4.11,-24.32
P.leu,3062,2018,HPW,Burned,Bison,3.95,-24.81
P.leu,3063,2019,WH,Burned,Bison,1.96,-21.74
P.leu,3065,2018,HL,Burned,Bison,5.29,-22.26
P.man,3066,2019,SBEE,Unburned,No bison,6.24,-12.56
P.leu,3067,2018,WH,Unburned,Bison,4.74,-22.37
P.man,3068,2018,HF,Burned,Bison,4.56,-24.31
M.och,3069,2018,WH,Unburned,Bison,2.47,-22.36
P.man,3072,2018,TCR,Burned,No bison,5.68,-17.68
P.man,3073,2018,CCWEX,Unburned,No bison,2.79,-25.35
P.leu,3083,2018,HL,Burned,Bison,5.66,-23.55
P.man,3084,2018,HF,Burned,Bison,6.27,-24.11
P.man,3084,2018,HF,Burned,Bison,4.09,-24.71
M.och,3085,2018,CCE,Unburned,No bison,4.58,-24.77
P.man,3086,2018,TC,Burned,No bison,7.13,-14.32
P.leu,3087,2018,HPW,Burned,Bison,3.61,-25.24
P.man,3088,2018,SBEX2,Unburned,No bison,8.36,-11.52
P.man,3089,2018,TCEX,Unburned,No bison,5.53,-24.97
P.man,3089,2018,TCEX,Unburned,No bison,4.67,-24.68
P.man,3091,2019,CCWEX,Unburned,No bison,2.61,-13.68
P.leu,3092,2018,CCWEX,Unburned,No bison,6.86,-21.94
P.leu,3093,2018,HL,Burned,Bison,5.51,-19.77
P.man,3098,2018,CCW,Burned,No bison,5.84,-21.39
P.man,3098,2018,CCW,Burned,No bison,3.54,-22.92
P.man,3099,2018,CCW,Burned,No bison,3.38,-23.95
M.och,3105,2018,TC,Burned,No bison,3.97,-26.02
M.och,3105,2018,TC,Burned,No bison,4.19,-24.9
P.leu,3113,2018,FC,Burned,No bison,5.3,-19.79
P.leu,3114,2018,WH,Unburned,Bison,3.43,-24.95
M.och,3115,2019,FC,Unburned,No bison,3.42,-27.73
P.leu,3116,2018,HL,Burned,Bison,6.12,-10.76
P.man,3121,2018,L,Unburned,Bison,9.53,-9.66
P.man,3122,2018,CCE,Unburned,No bison,3.6,-24.47
P.man,3122,2018,CCE,Unburned,No bison,2.62,-24.58
P.man,3123,2018,FC,Burned,No bison,6.93,-19.43
P.leu,3128,2018,CCWEX,Unburned,No bison,7.69,-24.02
P.man,3130,2018,TCR,Burned,No bison,4.15,-22.36
P.man,3131,2018,MUR,Burned,Bison,5.57,-18.53
P.man,3133,2018,MUR,Burned,Bison,4.2,-20.99
P.leu,3134,2018,HPW,Burned,Bison,6.4,-22.89
P.leu,3135,2018,SBEX1,Unburned,No bison,5.43,-15.91
P.man,3136,2018,CCWEX,Unburned,No bison,5.33,-21.72
P.man,3136,2018,CCWEX,Unburned,No bison,4.19,-22.74
P.man,3137,2018,CCWEX,Unburned,No bison,6.67,-19.76
P.leu,3138,2018,HL,Burned,Bison,4.61,-23.94
P.man,3140,2018,FC,Burned,No bison,6.28,-19.74
P.man,3141,2018,CCW,Burned,No bison,3.15,-24.4
P.leu,3143,2018,HL,Burned,Bison,3.05,-24.19
P.man,3145,2018,CCW,Burned,No bison,5.38,-20.78
P.leu,3146,2018,WH,Unburned,Bison,4.56,-23.96
P.man,3147,2018,MUR,Burned,Bison,6.12,-21.05
P.leu,3148,2018,WH,Unburned,Bison,3.38,-24.03
M.och,3149,2018,TC,Burned,No bison,5.2,-24.75
P.leu,3150,2018,TCEX,Unburned,No bison,8.75,-22.13
P.man,3154,2018,HL,Burned,Bison,5.65,-22.37
P.man,3154,2018,HL,Burned,Bison,3.61,-19.65
P.man,3155,2018,TC,Burned,No bison,6.18,-20.83
P.man,3156,2018,MU,Burned,Bison,3.93,-23.2
P.man,3157,2018,MUR,Burned,Bison,5.39,-18.29
P.man,3158,2018,TC,Burned,No bison,6.46,-24.11
M.och,3159,2018,HL,Burned,Bison,2.47,-25.71
P.leu,3161,2018,HL,Burned,Bison,3.56,-22.63
P.leu,3162,2018,HPW,Burned,Bison,3.6,-22.43
P.man,3165,2018,MUR,Burned,Bison,4.34,-20.32
P.man,3165,2018,MUR,Burned,Bison,3.33,-22.2
P.leu,3167,2018,TCEX,Unburned,No bison,4.8,-21.41
P.man,3168,2018,TCR,Burned,No bison,7.43,-15.48
P.man,3168,2018,TCR,Burned,No bison,6.74,-19.51
P.man,3171,2018,MUR,Burned,Bison,7.56,-25.66
P.man,3172,2018,WH,Unburned,Bison,4.91,-23.89
P.man,3172,2018,WH,Unburned,Bison,4.84,-24.09
P.man,3173,2018,SB,Unburned,No bison,5.13,-19.36
P.man,3176,2018,CCEEX,Unburned,No bison,3.31,-25.04
P.man,3179,2018,TC,Burned,No bison,8.13,-12.8
P.man,3183,2018,CCWEX,Unburned,No bison,5.41,-20.88
P.leu,3184,2018,TCEX,Unburned,No bison,6.01,-21.04
P.leu,3185,2018,MUR,Burned,Bison,5.09,-20.93
P.leu,3187,2018,HL,Burned,Bison,2.56,-23.15
P.man,3188,2018,MUR,Burned,Bison,5.69,-18.56
P.leu,3190,2018,WH,Unburned,Bison,3.87,-24.29
P.man,3191,2018,CCW,Burned,No bison,3.67,-24.04
P.man,3192,2018,TCEX,Unburned,No bison,7.01,-16.3
P.man,3193,2018,CCWEX,Unburned,No bison,3.13,-23.37
M.och,3195,2018,L,Unburned,Bison,3.15,-27.24
M.och,3196,2018,TCR,Burned,No bison,3.4,-26.17
P.man,3198,2018,FC,Burned,No bison,5.36,-19.94
P.leu,3199,2018,WH,Unburned,Bison,3.86,-22.98
P.man,3201,2018,CCEEX,Unburned,No bison,5.27,-17.19
P.leu,3204,2018,HPN,Unburned,Bison,4.61,-21.97
M.och,3205,2018,TCR,Burned,No bison,3.33,-27.23
P.leu,3206,2018,MU,Burned,Bison,2.3,-24.4
P.leu,3208,2018,MU,Burned,Bison,5.83,-19.81
P.leu,3209,2018,SF,Unburned,No bison,5.97,-22.67
P.leu,3210,2018,WH,Unburned,Bison,3.83,-23.32
P.leu,3211,2018,HL,Burned,Bison,4.55,-22.99
P.man,3215,2018,CCE,Unburned,No bison,5.65,-17.36
P.man,3216,2018,HL,Burned,Bison,4.43,-22.05
P.man,3218,2018,HF,Burned,Bison,2.45,-24.58
P.man,3220,2018,SBEX1,Unburned,No bison,8.07,-19.04
P.man,3222,2018,HF,Burned,Bison,6.28,-24.01
P.leu,3223,2018,CCW,Burned,No bison,4.93,-22.25
P.man,3706,2018,HF,Burned,Bison,4.9,-22.57
P.man,3747,2017,SB,Unburned,No bison,2.75,-22.92
P.leu,5235,2019,SB,Burned,No bison,8.19,-16.02
P.man,6902,2019,TCR,Unburned,No bison,5.88,-20.7
P.man,7643,2019,HPN,Unburned,Bison,5.66,-24.38
P.leu,7655,2019,MU,Unburned,Bison,3.52,-24.74
P.man,7656,2019,CCW,Unburned,No bison,4.26,-23.46
P.man,7664,2019,SB,Burned,No bison,6.67,-15.28
P.man,7676,2019,TCR,Unburned,No bison,3.1,-23.37
M.och,7680,2019,FC,Unburned,No bison,3.71,-21.95
P.man,7683,2019,CCEE,Burned,No bison,5.91,-21.24
P.man,7684,2019,SF,Burned,No bison,4.1,-18.89
P.man,7691,2019,CCE,Burned,No bison,5.8,-20.79
P.leu,7701,2019,TCR,Unburned,No bison,6.62,-24.55
P.leu,7701,2019,TCR,Unburned,No bison,5.55,-24.29
P.man,7712,2019,CCEE,Burned,No bison,6.17,-20.94
