Tag,Year,Location,Bison,,Group,Community,iso1,iso2
2425,2019,SBEX1,No bison,,P.man,Burned,-17.68,6.17
2426,2019,TC,No bison,,P.man,Unburned,-19.73,6.85
2428,2019,CCE,No bison,,P.man,Burned,-21.58,7.6
2430,2019,WH,Bison,,P.leu,Burned,-23.78,4.68
2431,2019,SBEX2,No bison,,P.man,Burned,-19.55,6.37
2434,2019,WH,Bison,,P.leu,Burned,-23.35,3.82
2435,2019,TC,No bison,,P.man,Unburned,-12.32,7.28
2436,2019,CCW,No bison,,P.man,Unburned,-21.05,5.45
2439,2019,SF,No bison,,P.man,Burned,-21.57,6.32
2440,2019,TCR,No bison,,P.man,Unburned,-22.46,6.01
2441,2019,SBEX2,No bison,,P.man,Burned,-22.39,4.05
2443,2019,CCWE,No bison,,P.man,Unburned,-20.63,3.07
2445,2019,WH,Bison,,P.leu,Burned,-25.08,2.74
2514,2016,HL,Bison,,P.leu,Unburned,-15.7,5.13
2729,2018,SBEX1,No bison,,P.man,Unburned,-15.2,8.14
2923,2019,SB,No bison,,P.man,Burned,-9.93,5.5
2924,2019,HPN,Bison,,P.man,Unburned,-23.84,4.32
2926,2019,TC,No bison,,P.man,Unburned,-11.24,5.78
2930,2018,TCEX,No bison,,P.leu,Unburned,-18.44,6.49
2932,2018,TC,No bison,,P.man,Burned,-10.43,8.44
2936,2019,WH,Bison,,P.leu,Burned,-21.4,2.25
2937,2018,TCEX,No bison,,P.leu,Unburned,-17.74,7.75
2938,2018,HL,Bison,,P.leu,Burned,-23.96,4.87
2940,2018,FC,No bison,,P.man,Burned,-18.07,5.54
2940,2018,FC,No bison,,P.man,Burned,-18.77,5.59
2941,2019,L,Bison,,P.man,Burned,-12.65,2.3
2944,2019,SB,No bison,,P.man,Burned,-21.04,7.22
2947,2018,TC,No bison,,P.man,Burned,-10.84,8.36
2954,2019,TCR,No bison,,P.leu,Unburned,-17.25,2.72
2955,2019,L,Bison,,P.man,Burned,-24.13,8.51
2959,2019,CCE,No bison,,P.man,Burned,-20.06,5.01
2960,2019,WH,Bison,,P.leu,Burned,-23.26,3.92
2964,2018,WH,Bison,,M.och,Unburned,-25.34,3
2970,2018,WH,Bison,,P.leu,Unburned,-21.26,2.76
2972,2018,HL,Bison,,P.man,Burned,-21.61,6.03
2973,2018,HPW,Bison,,P.leu,Burned,-23.95,2.37
2973,2018,HPW,Bison,,P.leu,Burned,-23.46,4.49
2974,2018,TCEX,No bison,,P.leu,Unburned,-20.28,6.71
2975,2019,HF,Bison,,P.man,Unburned,-23.71,5.18
2979,2018,CCE,No bison,,P.leu,Unburned,-18.34,3.4
2982,2018,TCEX,No bison,,P.leu,Unburned,-10.29,7.37
2987,2018,TC,No bison,,P.man,Burned,-10.52,9.18
2987,2018,TC,No bison,,P.man,Burned,-13.77,7.15
2988,2019,HPN,Bison,,P.man,Unburned,-24.64,5.82
2992,2019,HPN,Bison,,P.man,Unburned,-24.27,4.62
2994,2018,TC,No bison,,P.man,Burned,-11.89,7.9
2996,2019,L,Bison,,P.man,Burned,-25.26,4.31
3002,2019,L,Bison,,P.man,Burned,-13.14,5.83
3004,2019,L,Bison,,P.man,Burned,-12.68,8.53
3007,2018,CCEEX,No bison,,M.och,Unburned,-27.23,3.43
3010,2019,L,Bison,,P.man,Burned,-14.16,6.6
3012,2018,TC,No bison,,P.man,Burned,-17.9,7.83
3020,2018,TCEX,No bison,,P.man,Unburned,-12.91,7.1
3021,2018,HF,Bison,,P.man,Burned,-23.98,4.72
3022,2018,TCR,No bison,,M.och,Burned,-25.24,4.26
3025,2018,CCW,No bison,,P.man,Burned,-12.54,8.25
3028,2018,HF,Bison,,P.man,Burned,-22.55,5.64
3028,2018,HF,Bison,,P.man,Burned,-14.54,6.43
3031,2018,SF,No bison,,M.och,Unburned,-26,3.5
3032,2018,MUR,Bison,,P.man,Burned,-22.02,5.05
3032,2018,MUR,Bison,,P.man,Burned,-22.82,2.27
3033,2019,WH,Bison,,P.man,Burned,-24.2,2.46
3034,2018,CCW,No bison,,P.man,Burned,-23.64,2.91
3036,2018,TC,No bison,,M.och,Burned,-25.12,5.56
3038,2018,MU,Bison,,P.man,Burned,-22.31,2.92
3039,2018,CCW,No bison,,P.man,Burned,-24.71,3.32
3041,2018,HF,Bison,,P.man,Burned,-24.47,5.7
3042,2019,SB,No bison,,P.man,Burned,-20.31,4.16
3044,2018,TC,No bison,,P.man,Burned,-23.24,6.51
3047,2018,SBEX1,No bison,,P.leu,Unburned,-21.43,4.47
3047,2018,SBEX1,No bison,,P.leu,Unburned,-22.76,7.67
3049,2018,SBEX1,No bison,,P.man,Unburned,-22.94,6.03
3053,2018,TC,No bison,,M.och,Burned,-26.43,4.25
3054,2018,TCR,No bison,,P.man,Burned,-19.5,6.09
3055,2018,MU,Bison,,P.leu,Burned,-24.93,2.21
3057,2019,TCE,No bison,,P.man,Unburned,-12.91,3.96
3061,2018,CCWEX,No bison,,P.leu,Unburned,-22.87,6.49
3062,2018,HPW,Bison,,P.leu,Burned,-24.32,4.11
3062,2018,HPW,Bison,,P.leu,Burned,-24.81,3.95
3063,2019,WH,Bison,,P.leu,Burned,-21.74,1.96
3065,2018,HL,Bison,,P.leu,Burned,-22.26,5.29
3066,2019,SBEE,No bison,,P.man,Unburned,-12.56,6.24
3067,2018,WH,Bison,,P.leu,Unburned,-22.37,4.74
3068,2018,HF,Bison,,P.man,Burned,-24.31,4.56
3069,2018,WH,Bison,,M.och,Unburned,-22.36,2.47
3072,2018,TCR,No bison,,P.man,Burned,-17.68,5.68
3073,2018,CCWEX,No bison,,P.man,Unburned,-25.35,2.79
3083,2018,HL,Bison,,P.leu,Burned,-23.55,5.66
3084,2018,HF,Bison,,P.man,Burned,-24.11,6.27
3084,2018,HF,Bison,,P.man,Burned,-24.71,4.09
3085,2018,CCE,No bison,,M.och,Unburned,-24.77,4.58
3086,2018,TC,No bison,,P.man,Burned,-14.32,7.13
3087,2018,HPW,Bison,,P.leu,Burned,-25.24,3.61
3088,2018,SBEX2,No bison,,P.man,Unburned,-11.52,8.36
3089,2018,TCEX,No bison,,P.man,Unburned,-24.97,5.53
3089,2018,TCEX,No bison,,P.man,Unburned,-24.68,4.67
3091,2019,CCWEX,No bison,,P.man,Unburned,-13.68,2.61
3092,2018,CCWEX,No bison,,P.leu,Unburned,-21.94,6.86
3093,2018,HL,Bison,,P.leu,Burned,-19.77,5.51
3098,2018,CCW,No bison,,P.man,Burned,-21.39,5.84
3098,2018,CCW,No bison,,P.man,Burned,-22.92,3.54
3099,2018,CCW,No bison,,P.man,Burned,-23.95,3.38
3105,2018,TC,No bison,,M.och,Burned,-26.02,3.97
3105,2018,TC,No bison,,M.och,Burned,-24.9,4.19
3113,2018,FC,No bison,,P.leu,Burned,-19.79,5.3
3114,2018,WH,Bison,,P.leu,Unburned,-24.95,3.43
3115,2019,FC,No bison,,M.och,Unburned,-27.73,3.42
3116,2018,HL,Bison,,P.leu,Burned,-10.76,6.12
3121,2018,L,Bison,,P.man,Unburned,-9.66,9.53
3122,2018,CCE,No bison,,P.man,Unburned,-24.47,3.6
3122,2018,CCE,No bison,,P.man,Unburned,-24.58,2.62
3123,2018,FC,No bison,,P.man,Burned,-19.43,6.93
3128,2018,CCWEX,No bison,,P.leu,Unburned,-24.02,7.69
3130,2018,TCR,No bison,,P.man,Burned,-22.36,4.15
3131,2018,MUR,Bison,,P.man,Burned,-18.53,5.57
3133,2018,MUR,Bison,,P.man,Burned,-20.99,4.2
3134,2018,HPW,Bison,,P.leu,Burned,-22.89,6.4
3135,2018,SBEX1,No bison,,P.leu,Unburned,-15.91,5.43
3136,2018,CCWEX,No bison,,P.man,Unburned,-21.72,5.33
3136,2018,CCWEX,No bison,,P.man,Unburned,-22.74,4.19
3137,2018,CCWEX,No bison,,P.man,Unburned,-19.76,6.67
3138,2018,HL,Bison,,P.leu,Burned,-23.94,4.61
3140,2018,FC,No bison,,P.man,Burned,-19.74,6.28
3141,2018,CCW,No bison,,P.man,Burned,-24.4,3.15
3143,2018,HL,Bison,,P.leu,Burned,-24.19,3.05
3145,2018,CCW,No bison,,P.man,Burned,-20.78,5.38
3146,2018,WH,Bison,,P.leu,Unburned,-23.96,4.56
3147,2018,MUR,Bison,,P.man,Burned,-21.05,6.12
3148,2018,WH,Bison,,P.leu,Unburned,-24.03,3.38
3149,2018,TC,No bison,,M.och,Burned,-24.75,5.2
3150,2018,TCEX,No bison,,P.leu,Unburned,-22.13,8.75
3154,2018,HL,Bison,,P.man,Burned,-22.37,5.65
3154,2018,HL,Bison,,P.man,Burned,-19.65,3.61
3155,2018,TC,No bison,,P.man,Burned,-20.83,6.18
3156,2018,MU,Bison,,P.man,Burned,-23.2,3.93
3157,2018,MUR,Bison,,P.man,Burned,-18.29,5.39
3158,2018,TC,No bison,,P.man,Burned,-24.11,6.46
3159,2018,HL,Bison,,M.och,Burned,-25.71,2.47
3161,2018,HL,Bison,,P.leu,Burned,-22.63,3.56
3162,2018,HPW,Bison,,P.leu,Burned,-22.43,3.6
3165,2018,MUR,Bison,,P.man,Burned,-20.32,4.34
3165,2018,MUR,Bison,,P.man,Burned,-22.2,3.33
3167,2018,TCEX,No bison,,P.leu,Unburned,-21.41,4.8
3168,2018,TCR,No bison,,P.man,Burned,-15.48,7.43
3168,2018,TCR,No bison,,P.man,Burned,-19.51,6.74
3171,2018,MUR,Bison,,P.man,Burned,-25.66,7.56
3172,2018,WH,Bison,,P.man,Unburned,-23.89,4.91
3172,2018,WH,Bison,,P.man,Unburned,-24.09,4.84
3173,2018,SB,No bison,,P.man,Unburned,-19.36,5.13
3176,2018,CCEEX,No bison,,P.man,Unburned,-25.04,3.31
3179,2018,TC,No bison,,P.man,Burned,-12.8,8.13
3183,2018,CCWEX,No bison,,P.man,Unburned,-20.88,5.41
3184,2018,TCEX,No bison,,P.leu,Unburned,-21.04,6.01
3185,2018,MUR,Bison,,P.leu,Burned,-20.93,5.09
3187,2018,HL,Bison,,P.leu,Burned,-23.15,2.56
3188,2018,MUR,Bison,,P.man,Burned,-18.56,5.69
3190,2018,WH,Bison,,P.leu,Unburned,-24.29,3.87
3191,2018,CCW,No bison,,P.man,Burned,-24.04,3.67
3192,2018,TCEX,No bison,,P.man,Unburned,-16.3,7.01
3193,2018,CCWEX,No bison,,P.man,Unburned,-23.37,3.13
3195,2018,L,Bison,,M.och,Unburned,-27.24,3.15
3196,2018,TCR,No bison,,M.och,Burned,-26.17,3.4
3198,2018,FC,No bison,,P.man,Burned,-19.94,5.36
3199,2018,WH,Bison,,P.leu,Unburned,-22.98,3.86
3201,2018,CCEEX,No bison,,P.man,Unburned,-17.19,5.27
3204,2018,HPN,Bison,,P.leu,Unburned,-21.97,4.61
3205,2018,TCR,No bison,,M.och,Burned,-27.23,3.33
3206,2018,MU,Bison,,P.leu,Burned,-24.4,2.3
3208,2018,MU,Bison,,P.leu,Burned,-19.81,5.83
3209,2018,SF,No bison,,P.leu,Unburned,-22.67,5.97
3210,2018,WH,Bison,,P.leu,Unburned,-23.32,3.83
3211,2018,HL,Bison,,P.leu,Burned,-22.99,4.55
3215,2018,CCE,No bison,,P.man,Unburned,-17.36,5.65
3216,2018,HL,Bison,,P.man,Burned,-22.05,4.43
3218,2018,HF,Bison,,P.man,Burned,-24.58,2.45
3220,2018,SBEX1,No bison,,P.man,Unburned,-19.04,8.07
3222,2018,HF,Bison,,P.man,Burned,-24.01,6.28
3223,2018,CCW,No bison,,P.leu,Burned,-22.25,4.93
3706,2018,HF,Bison,,P.man,Burned,-22.57,4.9
3747,2017,SB,No bison,,P.man,Unburned,-22.92,2.75
5235,2019,SB,No bison,,P.leu,Burned,-16.02,8.19
6902,2019,TCR,No bison,,P.man,Unburned,-20.7,5.88
7643,2019,HPN,Bison,,P.man,Unburned,-24.38,5.66
7655,2019,MU,Bison,,P.leu,Unburned,-24.74,3.52
7656,2019,CCW,No bison,,P.man,Unburned,-23.46,4.26
7664,2019,SB,No bison,,P.man,Burned,-15.28,6.67
7676,2019,TCR,No bison,,P.man,Unburned,-23.37,3.1
7680,2019,FC,No bison,,M.och,Unburned,-21.95,3.71
7683,2019,CCEE,No bison,,P.man,Burned,-21.24,5.91
7684,2019,SF,No bison,,P.man,Burned,-18.89,4.1
7691,2019,CCE,No bison,,P.man,Burned,-20.79,5.8
7701,2019,TCR,No bison,,P.leu,Unburned,-24.55,6.62
7701,2019,TCR,No bison,,P.leu,Unburned,-24.29,5.55
7712,2019,CCEE,No bison,,P.man,Burned,-20.94,6.17
7717,2019,MUR,Bison,,P.man,Burned,-23.03,3.72
7730,2019,TCR,No bison,,P.man,Unburned,-21.08,4.7
7733,2019,TC,No bison,,P.man,Unburned,-20.23,7.51
8548,2018,CCW,No bison,,P.man,Burned,-10.15,8.83
8548,2018,CCW,No bison,,P.man,Burned,-11.24,8.21
8556,2018,HL,Bison,,P.man,Burned,-21.13,2.88
8573,2018,L,Bison,,P.leu,Unburned,-22.47,6.59
8597,2018,TCR,No bison,,P.man,Burned,-9.95,8.38
8615,2017,CCW,No bison,,P.man,Unburned,-21.87,4.56
8658,2017,CCW,No bison,,P.man,Unburned,-20.94,5.75
8767,2018,TC,No bison,,P.man,Burned,-10.52,7.72
9077,2019,CCEE,No bison,,P.man,Burned,-24.81,11.02
9080,2019,CCW,No bison,,P.man,Unburned,-24.31,4.15
9089,2019,CCEE,No bison,,P.man,Burned,-24.35,11.05
9130,2019,CCEE,No bison,,P.man,Burned,-22.86,6.47
9985,2023,CCWE,No bison,,P.man,Burned,-15.85,2.90
7640,2019,TC,No bison,,P.leu,Burned,-23.70,4.66
7666,2019,TCE,No bison,,P.leu,Burned,-22.83,5.55
9912,2023,HL,Bison,,P.leu,Burned,-23.78,4.01
0083,2023,MU,Bison,,P.leu,Burned,-25.14,1.48
0000,2023,HL,Bison,,P.leu,Burned,-25.07,5.64
7689,2019,HPW,Bison,,P.leu,Unburned,-23.13,4.88
0037,2023,HL,Bison,,P.leu,Burned,-19.55,4.73
0101,2023,HL,Bison,,P.leu,Burned,-25.09,2.11
0037,2023,HL,Bison,,P.leu,Burned,-16.72,2.12
9934,2023,HL,Bison,,P.leu,Burned,-25.89,1.90
0041,2023,HL,Bison,,P.leu,Burned,-24.43,3.70
0064,2023,HL,Bison,,P.leu,Burned,-23.79,4.03
9564,2019,SF,No bison,,P.leu,Burned,-24.13,5.31
0064,2023,HL,Bison,,P.leu,Burned,-24.86,1.43
9978,2023,HL,Bison,,P.leu,Burned,-24.90,2.29
0018,2023,MU,Bison,,P.leu,Burned,-25.66,1.64
7703,2019,TCE,No bison,,P.leu,Burned,-22.68,5.41
9821,2022,WH,Bison,,P.leu,Burned,-14.24,1.09
7667,2019,CCW,No bison,,M.och,Burned,-25.74,4.69
7699,2019,CCEE,No bison,,M.och,Burned,-19.32,2.95
9988,2023,HPW,Bison,,M.och,Unburned,-23.66,3.88
9935,2023,HPW,Bison,,M.och,Unburned,-23.94,2.86
0292,2020,WH,Bison,,M.och,,-26.47,2.46
no tag #,2019,FC,No bison,,M.och,Unburned,-21.85,3.97
2358,2019,CCEE,No bison,,M.och,Burned,-24.39,3.94
9880,2023,HPW,Bison,,M.och,Unburned,-25.96,2.67
0017,2023,CCW,No bison,,M.och,Burned,-24.89,3.61
2411,2019,FC,No bison,,M.och,Unburned,-22.06,4.17
9953,2023,HPW,Bison,,M.och,Unburned,-23.46,3.38
7647,2019,TCR,No bison,,M.och,Unburned,-27.16,4.42
0149,2023,HPW,Bison,,M.och,Unburned,-24.77,3.80
0038,2023,HPW,Bison,,M.och,Unburned,-23.48,3.32
9990,2019,HPW,Bison,,M.och,Unburned,-24.82,4.35
9778,2023,HPW,Bison,,M.och,Unburned,-23.78,3.43
9891,2023,HPW,Bison,,M.och,Unburned,-24.77,3.73
0118,2023,HPW,Bison,,M.och,Unburned,-24.60,4.23
9861,2023,HPW,Bison,,M.och,Unburned,-23.48,4.12
0015,2023,HPW,Bison,,M.och,Unburned,-22.57,3.37
