Type,Species,Tag,Year,Location,Burn,Bison,d15N,d13C
Small mammal,M.och,2256,2017,SB,Unburned,No bison,3.46,-26.72
Small mammal,P.man,2258,2018,HPW,Burned,Bison,6.63,-17.26
Small mammal,P.leu,2261,2017,CCW,Unburned,No bison,3.85,-14.8
Small mammal,P.leu,2263,2018,SF,Unburned,No bison,6.66,-13.62
Small mammal,P.leu,2266,2017,SBEX2,Unburned,No bison,9.61,-17.28
Small mammal,M.och,2270,2018,HL,Burned,Bison,4.87,-22.33
Small mammal,P.man,2273,2017,CCE,Burned,No bison,5.58,-17.17
Small mammal,P.man,2274,2017,SBEX2,Unburned,No bison,4,-23.51
Small mammal,P.leu,2276,2017,CCEEX,Unburned,No bison,8.58,-12.4
Small mammal,P.man,2287,2017,CCEEX,Unburned,No bison,6.21,-14.67
Small mammal,P.man,2289,2017,AG,Unburned,No bison,7.02,-10.89
Small mammal,P.man,2291,2018,HPN,Unburned,Bison,5.64,-22.3
Small mammal,P.man,2298,2017,HF,Burned,Bison,5.69,-24.99
Small mammal,P.man,2299,2017,CCE,Burned,No bison,1.51,-19.71
Small mammal,P.man,2302,2017,CCEEX,Unburned,No bison,3.74,-23.49
Small mammal,P.man,2304,2017,TCEX,Unburned,No bison,5.73,-15.57
Small mammal,P.man,2310,2017,AG,Unburned,No bison,8.95,-10.4
Small mammal,P.leu,2313,2018,HL,Burned,Bison,5.42,-22.87
Small mammal,M.och,2316,2017,HF,Burned,Bison,6.29,-29.03
Small mammal,P.man,2317,2018,HF,Burned,Bison,6.1,-23.09
Small mammal,P.man,2318,2018,TCR,Burned,No bison,8.32,-11.45
Small mammal,P.leu,2320,2017,CCW,Unburned,No bison,7.72,-26.37
Small mammal,P.man,2321,2018,FC,Burned,No bison,5.63,-23.73
Small mammal,P.man,2325,2017,AG,Unburned,No bison,8.87,-13.5
Small mammal,P.leu,2327,2017,TCEX,Unburned,No bison,8.08,-16.43
Small mammal,P.man,2330,2017,HPN,Burned,Bison,5.66,-23.7
Small mammal,P.leu,2332,2017,TC,Unburned,No bison,3.21,-16.45
Small mammal,P.man,2333,2017,TC,Unburned,No bison,6.41,-12.62
Small mammal,M.och,2339,2018,L,Unburned,Bison,5.67,-26.42
Small mammal,P.man,2345,2017,SB,Unburned,No bison,3.82,-22.18
Small mammal,P.man,2347,2017,HF,Burned,Bison,6.31,-25.17
Small mammal,P.man,2351,2019,CCW,Unburned,No bison,4.4,-19.8
Small mammal,P.leu,2352,2019,MU,Unburned,Bison,4.12,-24.38
Small mammal,P.man,2354,2019,CCWE,Unburned,No bison,5.36,-23.44
Small mammal,P.man,2357,2019,TCR,Unburned,No bison,6.29,-18.07
Small mammal,P.man,2359,2019,SBEX1,Burned,No bison,6.24,-20.38
Small mammal,P.man,2360,2019,MUR,Burned,Bison,,-22.42
Small mammal,P.leu,2362,2019,TCR,Unburned,No bison,5.26,-24.16
Small mammal,P.man,2363,2016,SBEX2,Unburned,No bison,3.51,-23.4
Small mammal,P.man,2365,2019,CCEE,Burned,No bison,3.91,-19.86
Small mammal,P.man,2367,2019,CCWE,Unburned,No bison,5.07,-22.96
Small mammal,P.man,2368,2019,CCW,Unburned,No bison,5.29,-23.28
Small mammal,P.man,2372,2019,CCWE,Unburned,No bison,5.48,-24.22
Small mammal,P.man,2374,2019,SF,Burned,No bison,6.34,-24.14
Small mammal,P.man,2375,2019,HPN,Unburned,Bison,4.24,-24.94
Small mammal,P.man,2377,2019,CCWE,Unburned,No bison,6.04,-23.02
Small mammal,P.man,2378,2019,CCW,Unburned,No bison,4.75,-23.66
Small mammal,P.leu,2380,2019,WH,Burned,Bison,4.19,-22.93
Small mammal,P.man,2382,2016,SB,Burned,No bison,3.97,-18.77
Small mammal,P.man,2389,2019,HPN,Unburned,Bison,5.55,-24.73
Small mammal,R.meg,2390,2019,FC,Unburned,No bison,6.26,-23.95
Small mammal,R.meg,2390,2019,FC,Unburned,No bison,7.22,-20.9
Small mammal,P.man,2393,2019,FC,Unburned,No bison,0.45,-11.73
Small mammal,P.man,2396,2019,SB,Burned,No bison,7.54,-18.69
Small mammal,P.leu,2397,2017,L,Burned,Bison,5.43,-21.18
Small mammal,P.man,2402,2019,CCW,Unburned,No bison,4.18,-19.85
Small mammal,P.man,2405,2019,CCW,Unburned,No bison,5.78,-20.28
Small mammal,Z.hud,2406,2016,WH,Unburned,Bison,0.95,-20.5
Small mammal,P.man,2412,2019,SBEX2,Burned,No bison,4.35,-18.8
Small mammal,P.man,2417,2019,CCEE,Burned,No bison,5.47,-22.81
Small mammal,P.man,2419,2019,TCE,Unburned,No bison,5.28,-13.96
Small mammal,P.man,2425,2019,SBEX1,Burned,No bison,6.17,-17.68
Small mammal,P.man,2426,2019,TC,Unburned,No bison,6.85,-19.73
Small mammal,P.man,2428,2019,CCE,Burned,No bison,7.6,-21.58
Small mammal,P.leu,2430,2019,WH,Burned,Bison,4.68,-23.78
Small mammal,P.man,2431,2019,SBEX2,Burned,No bison,6.37,-19.55
Small mammal,P.leu,2434,2019,WH,Burned,Bison,3.82,-23.35
Small mammal,P.man,2435,2019,TC,Unburned,No bison,7.28,-12.32
